a	aː
sárasta	s auː r a s t a
sárbændi	s auː r p ai n t ɪ
sárin	s auː r ɪ n
sárindum	s auː r ɪ n t ʏ m
sárinu	s auː r ɪ n ʏ
sárir	s auː r ɪ r
sárið	s auː r ɪ ð
sárlega	s au r l ɛ ɣ a
sárnað	s au r t n a ð
sárnaði	s au r t n a ð ɪ
sárrar	s au r a r
sárri	s au r ɪ
sársauka	s au r̥ s œyː k a
sársaukafullt	s au r̥ s œy k a f ʏ l̥ t
sársaukann	s au r̥ s œy k a n
sársaukans	s au r̥ s œy k a n s
sársaukanum	s au r̥ s œy k a n ʏ m
sársauki	s au r̥ s œy c ɪ
sársaukinn	s au r̥ s œy c ɪ n
sárt	s au r̥ t
sárum	s auː r ʏ m
sárustu	s auː r ʏ s t ʏ
sárþjáður	s au r̥ θ j au ð ʏ r
sást	s au s t
sástu	s au s t ʏ
sátt	s au h t
sátta	s au h t a
sáttfús	s au h t f u s
sáttir	s au h t ɪ r
sáttmála	s au h t m au l a
sáttmálann	s au h t m au l a n
sáttmálans	s au h t m au l a n s
sáttmálanum	s au h t m au l a n ʏ m
sáttmálinn	s au h t m au l ɪ n
sáttum	s au h t ʏ m
sáttur	s au h t ʏ r
sátu	s auː t ʏ
sátum	s auː t ʏ m
sáu	s auː ʏ
sáum	s auː ʏ m
sáumst	s auː ʏ m s t
sáust	s auː ʏ s t
sáuð	s auː ʏ ð
sáð	s auː ð
sáðmenn	s au ð m ɛ n
sæ	s aiː
sæberg	s aiː p ɛ r k
sæbjörn	s aiː p j œ r t n̥
sæg	s aiː ɣ
sægur	s aiː ɣ ʏ r
sæist	s ai j ɪ s t
sæju	s ai j ʏ
sæjum	s ai j ʏ m
sæjust	s ai j ʏ s t
sæki	s aiː c ɪ
sækir	s aiː c ɪ r
sækist	s aiː c ɪ s t
sækjum	s aiː c ʏ m
sækti	s ai x t ɪ
sæktu	s ai x t ʏ
sæl	s aiː l
sæla	s aiː l a
sælan	s aiː l a n
sælar	s aiː l a r
sælda	s ai l t a
sælgæti	s ai l c ai t ɪ
sælgætið	s ai l c ai t ɪ ð
sæli	s aiː l ɪ
sælingsdal	s ai l i ŋ k s t a l
sæll	s ai t l̥
sælu	s aiː l ʏ
sæluríkið	s aiː l ʏ r iː c ɪ ð
sæma	s aiː m a
sæmandi	s aiː m a n t ɪ
sæmd	s ai m t
sæmdar	s ai m t a r
sæmdi	s ai m t ɪ
sæmdur	s ai m t ʏ r
sæmileg	s aiː m ɪ l ɛ ɣ
sæmilega	s aiː m ɪ l ɛ ɣ a
sæmilegan	s aiː m ɪ l ɛ ɣ a n
sæmilegu	s aiː m ɪ l ɛ ɣ ʏ
sæmir	s aiː m ɪ r
sæmundar	s aiː m ʏ n t a r
sæmundi	s aiː m ʏ n t ɪ
sæmundsdóttir	s aiː m ʏ n t s t ou h t ɪ r
sæmundsdóttur	s aiː m ʏ n t s t ou h t ʏ r
sæmundsson	s aiː m ʏ n t s ɔː n
sæmundssonar	s aiː m ʏ n t s ɔː n a r
sæmundur	s aiː m ʏ n t ʏ r
sæng	s ai ŋ k
sængin	s ai ɲ c ɪ n
sængina	s ai ɲ c ɪ n a
sænginni	s ai ɲ c ɪ n ɪ
sængurföt	s ai ŋ k ʏ r f œː t
sængurnar	s ai ŋ k ʏ r t n a r
sænsk	s ai n s k
sænska	s ai n s k a
sænskan	s ai n s k a n
sænskar	s ai n s k a r
sænski	s ai n s c ɪ
sænskir	s ai n s c ɪ r
sænskra	s ai n s k r a
sænskri	s ai n s k r ɪ
sænskt	s ai n s t
sænsku	s ai n s k ʏ
sænskum	s ai n s k ʏ m
sænskur	s ai n s k ʏ r
særa	s aiː r a
særingar	s aiː r i ŋ k a r
særingum	s aiː r i ŋ k ʏ m
særir	s aiː r ɪ r
særst	s ai r̥ s t
sært	s ai r̥ t
særðan	s ai r ð a n
særðist	s ai r ð ɪ s t
særðu	s ai r ð ʏ
særðum	s ai r ð ʏ m
særður	s ai r ð ʏ r
særðust	s ai r ð ʏ s t
særún	s aiː r u n
sæt	s aiː t
sæta	s aiː t a
sætaldintrénu	s aiː t a l t ɪ n t r j ɛː n ʏ
sætan	s aiː t a n
sætanna	s aiː t a n a
sætar	s aiː t a r
sætari	s aiː t a r ɪ
sæti	s aiː t ɪ
sætin	s aiː t ɪ n
sætindi	s aiː t ɪ n t ɪ
sætinu	s aiː t ɪ n ʏ
sætir	s aiː t ɪ r
sætis	s aiː t ɪ s
sætið	s aiː t ɪ ð
sætri	s aiː t r ɪ
sætt	s ai h t
sætta	s ai h t a
sættast	s ai h t a s t
sætti	s ai h t ɪ
sættir	s ai h t ɪ r
sættist	s ai h t ɪ s t
sættu	s ai h t ʏ
sættum	s ai h t ʏ m
sættust	s ai h t ʏ s t
sætu	s aiː t ʏ
sætum	s aiː t ʏ m
sætunum	s aiː t ɔ n ʏ m
sætur	s aiː t ʏ r
sætúni	s aiː t u n ɪ
sæunn	s ai j ʏ n
sæunnar	s ai j ʏ n a r
sæunni	s ai j ʏ n ɪ
sævar	s aiː v a r
sævari	s aiː v a r ɪ
sævars	s aiː v a r̥ s
sæði	s aiː ð ɪ
sæðið	s aiː ð ɪ ð
sé	s j ɛː
séns	s j ɛ n s
sénsa	s j ɛ n s a
sénsinn	s j ɛ n s ɪ n
sér	s j ɛː r
séra	s j ɛː r a
sérdeilis	s j ɛ r t ei l ɪ s
sérfræðing	s j ɛ r̥ f r ai ð i ŋ k
sérfræðinga	s j ɛ r̥ f r ai ð i ŋ k a
sérfræðinganna	s j ɛ r̥ f r ai ð i ŋ k a n a
sérfræðingarnir	s j ɛ r̥ f r ai ð i ŋ k a t n ɪ r
sérfræðingi	s j ɛ r̥ f r ai ð i ɲ c ɪ
sérfræðings	s j ɛ r̥ f r ai ð i ŋ s
sérfræðingum	s j ɛ r̥ f r ai ð i ŋ k ʏ m
sérhannað	s j ɛː r h a n a ð
sérhverju	s j ɛ r̥ k v ɛ r j ʏ
sérhverjum	s j ɛ r̥ k v ɛ r j ʏ m
sérhvern	s j ɛ r̥ k v ɛ t n̥
sérhverri	s j ɛ r̥ k v ɛ r ɪ
sérhvers	s j ɛ r̥ k v ɛ r̥ s
sérhvert	s j ɛ r̥ k v ɛ r̥ t
sérhæfing	s j ɛː r h ai v i ŋ k
sérhæfingu	s j ɛː r h ai v i ŋ k ʏ
sérhæfir	s j ɛː r h ai v ɪ r
sérhæfð	s j ɛː r h ai v ð
sérhæfða	s j ɛː r h ai v ð a
sérhæfðar	s j ɛː r h ai v ð a r
sérhæfði	s j ɛː r h ai v ð ɪ
sérhæfðu	s j ɛː r h ai v ð ʏ
sérhæfðum	s j ɛː r h ai v ð ʏ m
sérkennilegan	s j ɛ r̥ c ɛ n ɪ l ɛ ɣ a n
sérmenntaðra	s j ɛ r m ɛ n̥ t a ð r a
sérrí	s j ɛ r i
sérríi	s j ɛ r i j ɪ
sérstaka	s j ɛ r̥ s t a k a
sérstakan	s j ɛ r̥ s t a k a n
sérstakar	s j ɛ r̥ s t a k a r
sérstakir	s j ɛ r̥ s t a c ɪ r
sérstaklega	s j ɛ r̥ s t a k l ɛ ɣ a
sérstakrar	s j ɛ r̥ s t a k r a r
sérstakri	s j ɛ r̥ s t a k r ɪ
sérstaks	s j ɛ r̥ s t a k s
sérstakur	s j ɛ r̥ s t a k ʏ r
sérstæð	s j ɛ r̥ s t ai ð
sérstæða	s j ɛ r̥ s t ai ð a
sérstæður	s j ɛ r̥ s t ai ð ʏ r
sérstök	s j ɛ r̥ s t œ k
sérstöku	s j ɛ r̥ s t œ k ʏ
sérstökum	s j ɛ r̥ s t œ k ʏ m
sért	s j ɛ r̥ t
sértu	s j ɛ r̥ t ʏ
sértækum	s j ɛ r̥ t ai k ʏ m
sérvefir	s j ɛ r v ɛ v ɪ r
sérvisku	s j ɛ r v ɪ s k ʏ
sérvitur	s j ɛ r v ɪ t ʏ r
sérð	s j ɛ r ð
sérðu	s j ɛ r ð ʏ
sérþarfir	s j ɛ r̥ θ a r v ɪ r
sést	s j ɛ s t
séu	s j ɛː ʏ
séum	s j ɛː ʏ m
séuð	s j ɛː ʏ ð
séð	s j ɛː ð
séður	s j ɛː ð ʏ r
sía	s iː j a
síast	s iː j a s t
síauknum	s iː j œy h k n ʏ m
síaðist	s iː j a ð ɪ s t
síberíu	s iː p ɛ r i j ʏ
sídon	s iː t ɔ n
síf	s iː f
sífelld	s iː f ɛ l t
sífelldar	s iː f ɛ l t a r
sífelldri	s iː f ɛ l t r ɪ
sífelldu	s iː f ɛ l t ʏ
sífelldum	s iː f ɛ l t ʏ m
sífellt	s iː f ɛ l̥ t
sífellu	s iː f ɛ t l ʏ
sífraði	s iː v r a ð ɪ
sígandi	s iː ɣ a n t ɪ
sígarettan	s iː k a r ɛ h t a n
sígarettu	s iː k a r ɛ h t ʏ
sígarettum	s iː k a r ɛ h t ʏ m
sígarettuna	s iː k a r ɛ h t ʏ n a
sígarettunni	s iː k a r ɛ h t ʏ n ɪ
sígarettunum	s iː k a r ɛ h t ɔ n ʏ m
sígarettupakkann	s iː k a r ɛ h t ʏ p a h k a n
sígarettur	s iː k a r ɛ h t ʏ r
sígaretturnar	s iː k a r ɛ h t ʏ t n a r
sígauna	s iː k œy n a
sígaunar	s iː k œy n a r
sígaunarnir	s iː k œy n a t n ɪ r
sígild	s iː c ɪ l t
sígilda	s iː c ɪ l t a
sígildar	s iː c ɪ l t a r
sígildri	s iː c ɪ l t r ɪ
sígildu	s iː c ɪ l t ʏ
sígildum	s iː c ɪ l t ʏ m
sígilt	s iː c ɪ l̥ t
sígó	s iː k ou
síki	s iː c ɪ
síld	s i l t
síldar	s i l t a r
síldin	s i l t ɪ n
síldina	s i l t ɪ n a
síldinni	s i l t ɪ n ɪ
síldveiðar	s i l t v ei ð a r
síldveiðum	s i l t v ei ð ʏ m
síli	s iː l ɪ
sílikon	s iː l i k ɔ n
síma	s iː m a
símafyrirtækin	s iː m a f ɪː r ɪ t aiː c ɪ n
símann	s iː m a n
símans	s iː m a n s
símanum	s iː m a n ʏ m
símanúmerið	s iː m a n uː m ɛ r ɪ ð
símaskrána	s iː m a s k r au n a
símaskránni	s iː m a s k r au n ɪ
símaði	s iː m a ð ɪ
símboði	s i m p ɔ ð ɪ
símbréf	s i m p r j ɛ v
símbréfi	s i m p r j ɛ v ɪ
símenntun	s iː m ɛ n̥ t ʏ n
símenntunar	s iː m ɛ n̥ t ʏ n a r
sími	s iː m ɪ
síminn	s iː m ɪ n
símleiðis	s i m l ei ð ɪ s
símnet	s i m n ɛ t
símon	s iː m ɔ n
símonar	s iː m ɔ n a r
símoni	s iː m ɔ n ɪ
símskeyti	s i m s c ei t ɪ
símsvara	s i m s v a r a
símsvaranum	s i m s v a r a n ʏ m
símsvari	s i m s v a r ɪ
símtal	s i m t a l
símtala	s i m t a l a
símtali	s i m t a l ɪ
símtalinu	s i m t a l ɪ n ʏ
símtalið	s i m t a l ɪ ð
símtól	s i m t ou l
símtólinu	s i m t ou l ɪ n ʏ
símtólið	s i m t ou l ɪ ð
símtöl	s i m t œ l
símtölin	s i m t œ l ɪ n
símtölum	s i m t œ l ʏ m
símum	s iː m ʏ m
símþjónusta	s i m θ j ouː n ʏ s t a
sín	s iː n
sína	s iː n a
sínar	s iː n a r
síne	s iː n ɛ
sínir	s iː n ɪ r
síns	s i n s
sínu	s iː n ʏ
sínum	s iː n ʏ m
síra	s iː r a
sírenu	s iː r ɛ n ʏ
sírenur	s iː r ɛ n ʏ r
sírenurnar	s iː r ɛ n ʏ t n a r
síst	s i s t
sísí	s iː s i
sítrón	s iː t r ou n
sítrónu	s iː t r ou n ʏ
sívaxandi	s iː v a k s a n t ɪ
sívinnandi	s iː v ɪ n a n t ɪ
síðan	s iː ð a n
síðar	s iː ð a r
síðara	s iː ð a r a
síðari	s iː ð a r ɪ
síðast	s iː ð a s t
síðasta	s iː ð a s t a
síðasti	s iː ð a s t ɪ
síðastliðinn	s iː ð a s t l ɪː ð ɪ n
síðastliðins	s iː ð a s t l ɪː ð ɪ n s
síðastliðnum	s iː ð a s t l ɪː ð n ʏ m
síðastur	s iː ð a s t ʏ r
síðbúinn	s i ð p u ɪ n
síðdegi	s i ð t ei j ɪ
síðdegis	s i ð t ei j ɪ s
síðdegið	s i ð t ei j ɪ ð
síðhærður	s iː ð h ai r ð ʏ r
síðkastið	s i ð k a s t ɪ ð
síðla	s i ð l a
síðra	s i ð r a
síðri	s i ð r ɪ
síðsta	s i ð s t a
síðu	s iː ð ʏ
síðum	s iː ð ʏ m
síðuna	s iː ð ʏ n a
síðunnar	s iː ð ʏ n a r
síðunni	s iː ð ʏ n ɪ
síðunum	s iː ð ɔ n ʏ m
síður	s iː ð ʏ r
síðurnar	s iː ð ʏ t n a r
síðust	s iː ð ʏ s t
síðustu	s iː ð ʏ s t ʏ
síþreytu	s iː θ r ei t ʏ
sóa	s ouː a
sóað	s ouː a ð
sófa	s ouː f a
sófann	s ouː f a n
sófanum	s ouː f a n ʏ m
sófi	s ouː f ɪ
sókn	s ou h k n̥
sóknar	s ou h k n a r
sóknarinnar	s ou h k n a r ɪ n a r
sóknarpresti	s ou h k n a r p r ɛ s t ɪ
sóknarpresturinn	s ou h k n a r p r ɛ s t ʏ r ɪ n
sóknin	s ou h k n ɪ n
sóknina	s ou h k n ɪ n a
sókninni	s ou h k n ɪ n ɪ
sóknir	s ou h k n ɪ r
sóknum	s ou h k n ʏ m
sókrates	s ouː k r a t ɛː s
sól	s ouː l
sóla	s ouː l a
sólar	s ouː l a r
sólargeislar	s ouː l a r c ei s t l a r
sólargeislarnir	s ouː l a r c ei s t l a r t n ɪ r
sólargeislinn	s ouː l a r c ei s t l ɪ n
sólarhringa	s ouː l a r̥ i ŋ k a
sólarhrings	s ouː l a r̥ i ŋ k s
sólarhringsþjónusta	s ouː l a r̥ i ŋ k s θ j ouː n ʏ s t a
sólarhringum	s ouː l a r̥ i ŋ k ʏ m
sólarhringur	s ouː l a r̥ i ŋ k ʏ r
sólarinnar	s ouː l a r ɪ n a r
sólarljósið	s ouː l a r l j ouː s ɪ ð
sólarupprás	s ouː l a r ʏ h p r au s
sólbergsson	s ou l p ɛ r k s ɔː n
sólbrúna	s ou l p r u n a
sólbrúni	s ou l p r u n ɪ
sólbrúnn	s ou l p r u t n̥
sólbökuðum	s ou l p œ k ʏ ð ʏ m
sóldísi	s ou l t i s ɪ
sóldögg	s ou l t œ k
sóley	s ouː l ei
sólgleraugun	s ou l k l ɛ r œy ɣ ʏ n
sólgleraugunum	s ou l k l ɛ r œy ɣ ɔ n ʏ m
sólheimar	s ouː l h ei m a r
sólin	s ouː l ɪ n
sólina	s ouː l ɪ n a
sólinni	s ouː l ɪ n ɪ
sólir	s ouː l ɪ r
sólirnar	s ouː l ɪ t n a r
sólon	s ouː l ɔ n
sólríkum	s ou l r i k ʏ m
sólríkur	s ou l r i k ʏ r
sólrún	s ou l r u n
sólrúnar	s ou l r u n a r
sólrúnu	s ou l r u n ʏ
sólskini	s ou l s c ɪ n ɪ
sólskininu	s ou l s c ɪ n ɪ n ʏ
sólskinið	s ou l s c ɪ n ɪ ð
sólstafir	s ou l s t a v ɪ r
sólsting	s ou l s t i ŋ k
sólstólum	s ou l s t ou l ʏ m
sóltúns	s ou l̥ t u n s
sólveig	s ou l v ei ɣ
sólveigar	s ou l v ei ɣ a r
sóló	s ouː l ou
sóma	s ouː m a
sómakært	s ouː m a c ai r̥ t
sómalar	s ouː m a l a r
sómalíu	s ouː m a l i j ʏ
sómasamlega	s ouː m a s a m l ɛ ɣ a
sómi	s ouː m ɪ
sómt	s ou m̥ t
sónn	s ou t n̥
sónötu	s ouː n œ t ʏ
sónötur	s ouː n œ t ʏ r
sópa	s ouː p a
sópar	s ouː p a r
sópast	s ouː p a s t
sópað	s ouː p a ð
sópaði	s ouː p a ð ɪ
sópran	s ouː p r a n
sór	s ouː r
sósa	s ouː s a
sóst	s ou s t
sósu	s ouː s ʏ
sósuna	s ouː s ʏ n a
sósur	s ouː s ʏ r
sósíalisma	s ouː s i j a l ɪ s m a
sósíalismans	s ouː s i j a l ɪ s m a n s
sósíalista	s ouː s i j a l ɪ s t a
sósíalistar	s ouː s i j a l ɪ s t a r
sót	s ouː t
sóti	s ouː t ɪ
sótrauður	s ouː t r œy ð ʏ r
sótsvartur	s ouː t s v a r̥ t ʏ r
sótt	s ou h t
sótta	s ou h t a
sóttar	s ou h t a r
sótthita	s ou h t h ɪ t a
sótti	s ou h t ɪ
sóttinni	s ou h t ɪ n ɪ
sóttir	s ou h t ɪ r
sóttist	s ou h t ɪ s t
sóttu	s ou h t ʏ
sóttum	s ou h t ʏ m
sóttur	s ou h t ʏ r
sóttust	s ou h t ʏ s t
sóun	s ouː ʏ n
sóðalegur	s ouː ð a l ɛ ɣ ʏ r
sóðaskap	s ouː ð a s k aː p
söfn	s œ p n̥
söfnin	s œ p n ɪ n
söfnum	s œ p n ʏ m
söfnun	s œ p n ʏ n
söfnunarinnar	s œ p n ʏ n a r ɪ n a r
söfnunina	s œ p n ʏ n ɪ n a
söfnuninni	s œ p n ʏ n ɪ n ɪ
söfnuð	s œ p n ʏ ð
söfnuði	s œ p n ʏ ð ɪ
söfnuðinn	s œ p n ʏ ð ɪ n
söfnuðinum	s œ p n ʏ ð ɪ n ʏ m
söfnuðu	s œ p n ʏ ð ʏ
söfnuðum	s œ p n ʏ ð ʏ m
söfnuður	s œ p n ʏ ð ʏ r
söfnuðurinn	s œ p n ʏ ð ʏ r ɪ n
söfnuðust	s œ p n ʏ ð ʏ s t
sögn	s œ k n̥
sögnin	s œ k n ɪ n
sögninni	s œ k n ɪ n ɪ
sögnum	s œ k n ʏ m
sögu	s œː ɣ ʏ
sögufræga	s œː ɣ ʏ f r aiː ɣ a
sögulegan	s œː ɣ ʏ l ɛ ɣ a n
sögulegum	s œː ɣ ʏ l ɛ ɣ ʏ m
sögum	s œː ɣ ʏ m
söguna	s œː ɣ ʏ n a
sögunnar	s œː ɣ ʏ n a r
sögunni	s œː ɣ ʏ n ɪ
sögunum	s œː ɣ ɔ n ʏ m
sögur	s œː ɣ ʏ r
sögurnar	s œː ɣ ʏ t n a r
sögusviðið	s œː ɣ ʏ s v ɪː ð ɪ ð
sögusögnum	s œː ɣ ʏ s œ k n ʏ m
söguþráðinn	s œː ɣ ʏ θ r auː ð ɪ n
söguþráður	s œː ɣ ʏ θ r auː ð ʏ r
söguþráðurinn	s œː ɣ ʏ θ r auː ð ʏ r ɪ n
sögð	s œ ɣ ð
sögðum	s œ ɣ ð ʏ m
sögðust	s œ ɣ ð ʏ s t
sök	s œː k
sökin	s œː c ɪ n
sökina	s œː c ɪ n a
sökinni	s œː c ɪ n ɪ
sökk	s œ h k
sökkt	s œ x t
sökkti	s œ x t ɪ
sökktu	s œ x t ʏ
sökkva	s œ h k v a
sökkvi	s œ h k v ɪ
söknum	s œ h k n ʏ m
söknuð	s œ h k n ʏ ð
söknuði	s œ h k n ʏ ð ɪ
söknuðinn	s œ h k n ʏ ð ɪ n
söknuðurinn	s œ h k n ʏ ð ʏ r ɪ n
sökudólginn	s œː k ʏ t ou l c ɪ n
sökudólgurinn	s œː k ʏ t ou l k ʏ r ɪ n
sökum	s œː k ʏ m
sökuð	s œː k ʏ ð
sökuðu	s œː k ʏ ð ʏ
sölku	s œ l̥ k ʏ
söltu	s œ l̥ t ʏ
söltum	s œ l̥ t ʏ m
söltuðu	s œ l̥ t ʏ ð ʏ
sölu	s œː l ʏ
söluhagnaðar	s œː l ʏ h a k n a ð a r
söluhagnaði	s œː l ʏ h a k n a ð ɪ
sölum	s œː l ʏ m
sölumanneskja	s œː l ʏ m a n ɛ s c a
söluna	s œː l ʏ n a
sölunnar	s œː l ʏ n a r
sölunni	s œː l ʏ n ɪ
sölurnar	s œː l ʏ t n a r
söluþóknunar	s œː l ʏ θ ou h k n ʏ n a r
sölva	s œ l v a
sölvhólsgötu	s œ l v h ou l s k œː t ʏ
sölvi	s œ l v ɪ
söm	s œː m
sömdu	s œ m t ʏ
sömdum	s œ m t ʏ m
sömu	s œː m ʏ
sömuleiðis	s œː m ʏ l eiː ð ɪ s
söndru	s œ n t r ʏ
söng	s œy ŋ k
sönginn	s œy ɲ c ɪ n
söngkonuna	s œy ŋ k ɔ n ʏ n a
söngkonunnar	s œy ŋ k ɔ n ʏ n a r
söngkonunni	s œy ŋ k ɔ n ʏ n ɪ
söngla	s œy ŋ l a
sönglar	s œy ŋ l a r
sönglaði	s œy ŋ l a ð ɪ
söngleikjum	s œy ŋ k l ei c ʏ m
söngnum	s œy ŋ n ʏ m
söngs	s œy ŋ k s
söngst	s œy ŋ s t
söngur	s œy ŋ k ʏ r
söngurinn	s œy ŋ k ʏ r ɪ n
söngva	s œy ŋ k v a
söngvakeppnin	s œy ŋ k v a c ɛ h p n ɪ n
söngvanna	s œy ŋ k v a n a
söngvar	s œy ŋ k v a r
söngvarann	s œy ŋ k v a r a n
söngvarans	s œy ŋ k v a r a n s
söngvararnir	s œy ŋ k v a r a r t n ɪ r
söngvarinn	s œy ŋ k v a r ɪ n
söngvaseið	s œy ŋ k v a s eiː ð
söngvum	s œy ŋ k v ʏ m
söngvurum	s œy ŋ k v ʏ r ʏ m
sönn	s œ n
sönnu	s œ n ʏ
sönnum	s œ n ʏ m
sönnun	s œ n ʏ n
sönnunar	s œ n ʏ n a r
sönnunargögnum	s œ n ʏ n a r k œ k n ʏ m
sönnunum	s œ n ʏ n ʏ m
sönnur	s œ n ʏ r
sönnuð	s œ n ʏ ð
sönnuðu	s œ n ʏ ð ʏ
sönsum	s œ n s ʏ m
sören	s œː r ɛ n
sörla	s œ r t l a
söru	s œː r ʏ
sötra	s œː t r a
sötrar	s œː t r a r
sötruðu	s œː t r ʏ ð ʏ
söðla	s œ ð l a
söðli	s œ ð l ɪ
sú	s uː
súdan	s uː t a n
súginn	s uː j ɪ n
súlu	s uː l ʏ
súludansari	s uː l ʏ t a n s a r ɪ
súlum	s uː l ʏ m
súluna	s uː l ʏ n a
súlunum	s uː l ɔ n ʏ m
súlur	s uː l ʏ r
súpa	s uː p a
súpu	s uː p ʏ
súpuna	s uː p ʏ n a
súpunni	s uː p ʏ n ɪ
súr	s uː r
súra	s uː r a
súrefni	s uː r ɛ p n ɪ
súrkrásar	s u r k r au s a r
súrmjólk	s u r m j ou l̥ k
súrsaðri	s u r̥ s a ð r ɪ
súrtunnu	s u r t ʏ n ʏ
súru	s uː r ʏ
súsanna	s uː s a n a
súsí	s uː s i
súsíar	s uː s i j a r
súð	s uː ð
súðarvogi	s uː ð a r v ɔi j ɪ
súðavík	s uː ð a v iː k
súðavíkur	s uː ð a v iː k ʏ r
súðina	s uː ð ɪ n a
sýkingu	s iː c i ŋ k ʏ
sýkingum	s iː c i ŋ k ʏ m
sýkla	s i h k l a
sýkn	s i h k n̥
sýkna	s i h k n a
sýknað	s i h k n a ð
sýknaði	s i h k n a ð ɪ
sýknaður	s i h k n a ð ʏ r
sýknu	s i h k n ʏ
sýkst	s i x s t
sýkt	s i x t
sýn	s iː n
sýna	s iː n a
sýnar	s iː n a r
sýnast	s iː n a s t
sýndar	s i n t a r
sýndi	s i n t ɪ
sýndist	s i n t ɪ s t
sýndur	s i n t ʏ r
sýndust	s i n t ʏ s t
sýnenda	s iː n ɛ n t a
sýnendur	s iː n ɛ n t ʏ r
sýnilegir	s iː n ɪ l ei j ɪ r
sýnin	s iː n ɪ n
sýning	s iː n i ŋ k
sýninga	s iː n i ŋ k a
sýningar	s iː n i ŋ k a r
sýningarinnar	s iː n i ŋ k a r ɪ n a r
sýningarnar	s iː n i ŋ k a r t n a r
sýningarsalir	s iː n i ŋ k a r s aː l ɪ r
sýningartjaldinu	s iː n i ŋ k a r t j a l t ɪ n ʏ
sýningin	s iː n i ɲ c ɪ n
sýningu	s iː n i ŋ k ʏ
sýningum	s iː n i ŋ k ʏ m
sýninguna	s iː n i ŋ k ʏ n a
sýningunni	s iː n i ŋ k ʏ n ɪ
sýningunum	s iː n i ŋ k ɔ n ʏ m
sýnis	s iː n ɪ s
sýnist	s iː n ɪ s t
sýnið	s iː n ɪ ð
sýnst	s i n s t
sýnt	s iː n̥ t
sýnum	s iː n ʏ m
sýp	s iː p
sýpur	s iː p ʏ r
sýrlands	s iː r l a n s
sýrlendingar	s i r l ɛ n t i ŋ k a r
sýru	s iː r ʏ
sýrður	s i r ð ʏ r
sýsla	s i s t l a
sýslaði	s i s t l a ð ɪ
sýslu	s i s t l ʏ
sýslum	s i s t l ʏ m
sýslumannsembætti	s i s t l ʏ m a n s ɛ m p ai h t ɪ
sýslumannsembættum	s i s t l ʏ m a n s ɛ m p ai h t ʏ m
sýslunni	s i s t l ʏ n ɪ
tabú	tʰ aː p u
tafa	tʰ aː v a
tafar	tʰ aː v a r
tafir	tʰ aː v ɪ r
tafist	tʰ aː v ɪ s t
tafið	tʰ aː v ɪ ð
tafl	tʰ a p l̥
tafla	tʰ a p l a
taflanna	tʰ a p l a n a
tafli	tʰ a p l ɪ
taflinu	tʰ a p l ɪ n ʏ
taflið	tʰ a p l ɪ ð
taflsettum	tʰ a p l̥ s ɛ h t ʏ m
tafsaði	tʰ a f s a ð ɪ
tagi	tʰ ai j ɪ
taginu	tʰ ai j ɪ n ʏ
tagl	tʰ a k l̥
taglarétt	tʰ a k l a r j ɛ h t
tagli	tʰ a k l ɪ
taglinu	tʰ a k l ɪ n ʏ
taglið	tʰ a k l ɪ ð
tak	tʰ aː k
taka	tʰ aː k a
takast	tʰ aː k a s t
taki	tʰ aː c ɪ
takinu	tʰ aː c ɪ n ʏ
takir	tʰ aː c ɪ r
takist	tʰ aː c ɪ s t
takið	tʰ aː c ɪ ð
takk	tʰ a h k
takka	tʰ a h k a
takkana	tʰ a h k a n a
takkarnir	tʰ a h k a t n ɪ r
takmark	tʰ aː k m a r̥ k
takmarka	tʰ aː k m a r̥ k a
takmarkana	tʰ aː k m a r̥ k a n a
takmarkanir	tʰ aː k m a r̥ k a n ɪ r
takmarkar	tʰ aː k m a r̥ k a r
takmarkast	tʰ aː k m a r̥ k a s t
takmarkað	tʰ aː k m a r̥ k a ð
takmarkaða	tʰ aː k m a r̥ k a ð a
takmarkaðan	tʰ aː k m a r̥ k a ð a n
takmarkaðar	tʰ aː k m a r̥ k a ð a r
takmarkaðir	tʰ aː k m a r̥ k a ð ɪ r
takmarkaðri	tʰ aː k m a r̥ k a ð r ɪ
takmarkaður	tʰ aː k m a r̥ k a ð ʏ r
takmarki	tʰ aː k m a r̥ c ɪ
takmarkinu	tʰ aː k m a r̥ c ɪ n ʏ
takmarkið	tʰ aː k m a r̥ c ɪ ð
takmörk	tʰ aː k m œ r̥ k
takmörkun	tʰ aː k m œ r̥ k ʏ n
takmörkunar	tʰ aː k m œ r̥ k ʏ n a r
takmörkuð	tʰ aː k m œ r̥ k ʏ ð
taks	tʰ a k s
takta	tʰ a x t a
takteinum	tʰ aː k t ei n ʏ m
takti	tʰ a x t ɪ
taktinn	tʰ a x t ɪ n
taktu	tʰ a x t ʏ
taktur	tʰ a x t ʏ r
takturinn	tʰ a x t ʏ r ɪ n
tal	tʰ aː l
tala	tʰ aː l a
talan	tʰ aː l a n
talandi	tʰ aː l a n t ɪ
talar	tʰ aː l a r
talarðu	tʰ aː l a r ʏ
talast	tʰ aː l a s t
talað	tʰ aː l a ð
talaði	tʰ aː l a ð ɪ
talaðu	tʰ aː l a ð ʏ
taldar	tʰ a l t a r
taldi	tʰ a l t ɪ
taldir	tʰ a l t ɪ r
taldist	tʰ a l t ɪ s t
talgervill	tʰ a l c ɛ r v ɪ t l̥
talhólf	tʰ aː l h ou l v
tali	tʰ aː l ɪ
